Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
70,Alex Biega,33,TOR,D,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0.0,26,1307,1,5,0,0,,biegaal01
71,Brandon Biro,23,BUF,F,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,14,1330,0,1,0,0,,birobr01
72,Clark Bishop,25,OTT,C,9,0,1,1,-3,6,-0.1,0,0,0,0,1,0,0,8,0.0,75,821,3,12,3,3,50.0,bishocl01
73,Anders Bjork,25,BUF,LW,58,5,3,8,-14,10,-0.3,5,0,0,0,3,0,0,51,9.8,698,1202,16,11,1,4,20.0,bjorkan01
74,Kasper Bjorkqvist,24,PIT,RW,6,1,0,1,-1,2,0.1,1,0,0,0,0,0,0,8,12.5,50,822,2,9,0,0,,bjorkka01
75,Oliver Bjorkstrand,26,CBJ,RW,80,28,29,57,-35,16,4.4,19,9,0,1,19,10,0,215,13.0,1436,1757,31,85,10,13,43.5,bjorkol01
76,Tobias Bjornfot,20,LAK,D,70,0,8,8,-12,6,1.1,0,0,0,0,8,0,0,53,0.0,1173,1646,58,61,0,0,,bjornto01
77,Nick Bjugstad,29,MIN,C,57,7,6,13,-2,20,0.6,6,1,0,0,6,0,0,81,8.6,585,1016,14,99,141,114,55.3,bjugsni01
78,Colin Blackwell,28,TOT,C,58,10,10,20,0,14,1.8,8,0,2,1,10,0,0,77,13.0,692,1156,24,91,83,86,49.1,blackco01
79,Sammy Blais,25,NYR,LW,14,0,4,4,3,17,0.2,0,0,0,0,4,0,0,17,0.0,188,1328,8,37,1,4,20.0,blaissa01
80,Nick Blankenburg,23,CBJ,D,7,1,2,3,-3,4,0.2,0,1,0,1,2,0,0,13,7.7,123,1734,12,19,0,0,,blankni01
81,Anton Blidh,26,BOS,LW,32,2,7,9,-3,24,0.4,2,0,0,0,7,0,0,28,7.1,343,1044,17,82,0,3,0.0,blidhan01
82,Teddy Blueger,27,PIT,C,65,9,19,28,12,10,2.3,8,0,1,0,18,0,1,93,9.7,976,1501,32,87,357,315,53.1,bluegte01
83,Brock Boeser,24,VAN,RW,71,23,23,46,-5,20,4.4,12,11,0,6,16,6,1,195,11.8,1321,1836,26,35,27,26,50.9,boesebr01
84,Zach Bogosian,31,TBL,D,48,3,5,8,2,53,1.8,3,0,0,1,5,0,0,60,5.0,737,1522,34,114,0,0,,bogosza01
85,Matt Boldy,20,MIN,LW,47,15,24,39,17,10,4.3,12,3,0,2,17,7,0,113,13.3,723,1523,24,23,9,15,37.5,boldyma01
86,Nick Bonino,33,SJS,C,80,16,10,26,-25,18,1.4,12,3,1,0,6,4,0,137,11.7,1336,1642,102,34,475,450,51.4,boninni01
87,Adam Boqvist,21,CBJ,D,52,11,11,22,-11,12,2.9,8,3,0,1,8,3,0,64,17.2,886,1703,47,26,0,0,,boqviad01
88,Jesper Boqvist,23,NJD,C,56,10,13,23,-9,10,1.7,10,0,0,1,12,1,0,74,13.5,735,1308,16,31,168,282,37.3,boqvije01
89,Thomas Bordeleau,20,SJS,C,8,0,5,5,-1,0,0.3,0,0,0,0,4,1,0,13,0.0,125,1535,4,3,40,49,44.9,bordeth01
90,William Borgen,25,SEA,D,36,2,6,8,1,28,1.6,2,0,0,0,6,0,0,49,4.1,550,1517,33,89,0,0,,borgewi01
91,Henrik Borgström,24,CHI,C,52,4,3,7,-14,22,-0.2,4,0,0,0,2,1,0,41,9.8,547,1031,19,26,82,122,40.2,borgshe01
92,Mark Borowiecki,32,NSH,D,57,0,4,4,-9,151,0.3,0,0,0,0,4,0,0,45,0.0,747,1307,79,196,0,0,,borowma01
93,Robert Bortuzzo,32,STL,D,73,1,5,6,-4,36,0.8,1,0,0,0,5,0,0,47,2.1,1003,1344,98,135,0,0,,borturo01
94,Evan Bouchard,22,EDM,D,81,12,31,43,10,28,7.0,10,2,0,1,25,5,1,205,5.9,1604,1948,112,80,0,0,,bouchev01
95,Madison Bowey,26,VAN,D,2,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,0,,31,1544,2,4,0,0,,boweyma01
96,Travis Boyd,28,ARI,C,74,17,18,35,-10,34,2.7,15,2,0,2,16,2,0,88,19.3,1222,1631,55,71,420,507,45.3,boydtr01
97,Brian Boyle,37,PIT,C,66,11,10,21,6,27,2.1,10,0,1,1,10,0,0,87,12.6,712,1047,39,95,165,200,45.2,boylebr01
98,Tyler Bozak,35,STL,C,50,3,9,12,-11,14,-0.1,2,0,1,1,7,1,1,46,6.5,609,1210,21,20,175,212,45.2,bozakty01
99,Erik Brannstrom,22,OTT,D,53,0,14,14,-17,30,1.4,0,0,0,0,8,6,0,86,0.0,1048,1946,59,39,0,0,,branner01
100,Derick Brassard,34,TOT,C,46,8,11,19,4,16,1.9,7,1,0,1,10,1,0,62,12.9,594,1255,6,82,169,161,51.2,brassde01
101,Jesper Bratt,23,NJD,W,76,26,47,73,0,16,7.4,23,3,0,6,32,15,0,197,13.2,1325,1726,30,26,0,3,0.0,brattje01
102,Justin Braun,34,TOT,D,69,6,12,18,2,36,3.9,6,0,0,0,12,0,0,73,8.2,1349,1933,121,87,0,0,,braunju01
103,Bobby Brink,20,PHI,RW,10,0,4,4,-5,0,0.0,0,0,0,0,3,1,0,18,0.0,154,1527,2,15,3,1,75.0,brinkbo01
104,Guillaume Brisebois,24,VAN,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,4,413,1,0,0,0,,brisegu01
105,Philip Broberg,20,EDM,D,23,1,2,3,-8,8,0.0,1,0,0,0,2,0,0,29,3.4,310,1328,10,10,0,0,,brobeph01
106,T.J. Brodie,31,TOR,D,82,4,24,28,20,34,5.2,4,0,0,0,21,1,2,68,5.9,1748,2119,106,53,0,0,,broditj01
107,Jonas Brodin,28,MIN,D,73,5,25,30,9,18,4.0,4,1,0,1,18,6,1,126,4.0,1711,2326,126,42,0,0,,brodijo01
108,Jonny Brodzinski,28,NYR,C,22,1,1,2,1,10,0.0,1,0,0,0,1,0,0,34,2.9,239,1051,8,8,49,48,50.5,brodzjo01
109,Adam Brooks,25,TOT,C,25,2,1,3,2,2,0.2,2,0,0,2,1,0,0,14,14.3,224,857,6,11,23,34,40.4,brookad01
110,Connor Brown,28,OTT,RW,64,10,29,39,-15,10,2.4,9,0,1,0,17,9,3,121,8.3,1284,2003,37,14,48,85,36.1,brownco02
111,Dustin Brown,37,LAK,RW,64,9,19,28,-3,20,2.1,8,1,0,0,17,2,0,146,6.2,943,1444,20,88,2,8,20.0,browndu01
112,Josh Brown,28,TOT,D,52,0,6,6,-7,37,1.0,0,0,0,0,6,0,0,45,0.0,739,1413,62,118,0,0,,brownjo01
113,Logan Brown,23,STL,C,39,4,7,11,-3,8,0.6,4,0,0,0,6,1,0,34,11.8,397,1011,13,22,66,102,39.3,brownlo01
114,Patrick Brown,29,PHI,C,44,4,5,9,-16,11,-0.1,4,0,0,0,5,0,0,51,7.8,547,1226,36,100,242,172,58.5,brownpa02
115,Jacob Bryson,24,BUF,D,73,1,9,10,-9,12,2.0,0,1,0,0,3,6,0,43,2.3,1338,1820,73,55,0,0,,brysoja01
116,Pavel Buchnevich,26,STL,LW,73,30,46,76,29,34,8.7,20,8,2,3,33,11,2,199,15.1,1336,1818,15,57,13,26,33.3,buchnpa01
117,Connor Bunnaman,23,PHI,F,15,0,0,0,-7,4,-0.5,0,0,0,0,0,0,0,10,0.0,150,1001,2,17,57,50,53.3,bunnaco01
118,Michael Bunting,26,TOR,LW,79,23,40,63,27,80,6.9,21,2,0,2,37,3,0,175,13.1,1228,1533,21,85,8,8,50.0,buntimi01
119,Andre Burakovsky,26,COL,LW,80,22,39,61,12,18,5.9,18,4,0,5,32,7,0,149,14.8,1301,1616,34,49,8,12,40.0,burakan01
120,Brent Burns,36,SJS,D,82,10,44,54,-15,42,8.5,6,4,0,0,29,14,1,203,4.9,2144,2609,150,55,0,1,0.0,burnsbr01
121,Kyle Burroughs,26,VAN,D,42,1,4,5,-3,39,0.9,1,0,0,0,4,0,0,39,2.6,543,1256,59,122,0,0,,burroky01
122,Will Butcher,27,BUF,D,37,2,6,8,-10,0,0.9,2,0,0,0,4,2,0,35,5.7,610,1629,32,11,0,0,,butchwi01
123,Quinton Byfield,19,LAK,C,40,5,5,10,-7,20,0.5,5,0,0,1,4,1,0,39,12.8,486,1209,11,20,124,149,45.4,byfiequ01
124,Bowen Byram,20,COL,D,30,5,12,17,7,12,2.9,4,1,0,2,12,0,0,49,10.2,564,1848,26,53,0,0,,byrambo01
125,Paul Byron,32,MTL,LW,27,4,3,7,-8,2,0.2,4,0,0,2,3,0,0,33,12.1,340,1236,7,66,33,36,47.8,byronpa01
126,Drake Caggiula,27,BUF,LW,18,2,3,5,-4,4,0.2,2,0,0,1,2,1,0,23,8.7,263,1438,7,17,1,3,25.0,caggidr01
127,Kyle Capobianco,24,ARI,D,45,2,7,9,-12,38,1.0,1,1,0,1,6,1,0,40,5.0,720,1600,46,43,0,0,,capobky01
128,Michael Carcone,25,ARI,F,21,4,2,6,-8,14,0.3,4,0,0,0,2,0,0,36,11.1,259,1219,7,31,0,7,0.0,carcomi01
129,Brandon Carlo,25,BOS,D,79,6,9,15,2,31,3.9,5,0,1,0,8,1,0,125,4.8,1557,1942,104,143,0,0,,carlobr01
130,John Carlson,32,WSH,D,78,17,54,71,13,20,11.0,10,7,0,2,33,18,3,195,8.7,1857,2349,112,73,0,0,,carlsjo01
131,Gabriel Carlsson,25,CBJ,D,38,2,7,9,6,10,1.8,2,0,0,0,7,0,0,18,11.1,466,1216,33,27,0,0,,carlsga01
132,Lucas Carlsson,24,FLA,D,40,3,6,9,3,10,1.3,3,0,0,0,6,0,0,41,7.3,508,1243,29,39,0,0,,carlslu01
133,Ryan Carpenter,31,TOT,C,67,3,9,12,-11,36,-0.2,3,0,0,2,8,1,0,67,4.5,843,1235,44,136,200,188,51.5,carpery01
134,Sam Carrick,29,ANA,C,64,11,8,19,-12,85,1.4,11,0,0,0,8,0,0,80,13.8,734,1128,21,122,204,209,49.4,carrisa01
135,Alexandre Carrier,25,NSH,D,77,3,27,30,26,50,6.4,2,1,0,0,23,3,1,95,3.2,1616,2059,124,95,0,1,0.0,carrial01
136,William Carrier,27,VEG,LW,63,9,11,20,7,34,1.8,9,0,0,0,11,0,0,120,7.5,732,1137,24,159,4,4,50.0,carriwi01
137,Jeff Carter,37,PIT,C,76,19,26,45,-8,38,3.6,15,3,1,2,23,3,0,200,9.5,1343,1740,50,99,648,489,57.0,carteje01
138,Jackson Cates,24,PHI,C,11,1,0,1,-2,0,0.0,1,0,0,0,0,0,0,8,12.5,100,905,3,4,20,13,60.6,catesja01
139,Noah Cates,22,PHI,LW,16,5,4,9,4,4,1.2,4,1,0,1,4,0,0,23,21.7,212,1315,6,21,0,7,0.0,catesno01
140,Cole Caufield,21,MTL,RW,67,23,20,43,-24,10,3.7,18,5,0,3,12,8,0,188,12.2,1118,1641,7,18,5,5,50.0,caufico01
141,Cody Ceci,28,EDM,D,78,5,23,28,8,14,4.7,5,0,0,0,20,0,3,102,4.9,1630,2054,121,117,0,0,,cecico01
142,Erik Cernak,24,TBL,D,55,1,12,13,7,46,2.6,1,0,0,0,12,0,0,86,1.2,1053,1909,73,165,0,0,,cernaer01
143,Thomas Chabot,25,OTT,D,59,7,31,38,-3,26,6.1,6,1,0,1,19,12,0,173,4.0,1545,2612,93,73,0,0,,chaboth01
144,Mitchell Chaffee,24,MIN,F,2,0,0,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,15,727,0,7,0,0,,chaffmi01
145,Zdeno Chara,44,NYI,D,72,2,12,14,8,85,3.9,2,0,0,0,12,0,0,81,2.5,1349,1844,90,125,0,0,,charazd01
146,Jalen Chatfield,25,CAR,D,16,0,3,3,1,8,0.6,0,0,0,0,3,0,0,25,0.0,237,1447,10,32,0,0,,chatfja01
147,Ben Chiarot,30,TOT,D,74,9,17,26,-14,48,3.3,7,2,0,1,15,1,1,143,6.3,1691,2251,130,157,0,0,,chiarbe01
148,Alex Chiasson,31,VAN,RW,67,13,9,22,4,24,2.3,7,6,0,2,5,4,0,98,13.3,779,1137,18,68,10,13,43.5,chiasal01
149,Yegor Chinakhov,20,CBJ,RW,62,7,7,14,-27,16,-0.3,6,1,0,1,7,0,0,98,7.1,775,1230,16,50,0,6,0.0,chinaye01
150,Declan Chisholm,22,WPG,D,2,0,0,0,1,0,0.1,0,0,0,0,0,0,0,4,0.0,26,1257,1,1,0,0,,chishde01
151,Sasha Chmelevski,22,SJS,C,19,0,8,8,2,4,0.5,0,0,0,0,8,0,0,31,0.0,251,1311,4,20,31,48,39.2,chmelal01
152,Dennis Cholowski,23,TOT,D,11,0,3,3,-3,2,0.2,0,0,0,0,3,0,0,11,0.0,174,1549,13,5,0,0,,cholode01
153,Jake Christiansen,22,CBJ,D,8,1,0,1,1,0,0.3,1,0,0,0,0,0,0,4,25.0,78,946,6,9,0,0,,chrisja01
154,Jakob Chychrun,23,ARI,D,47,7,14,21,-20,47,2.4,6,1,0,2,14,0,0,141,5.0,1081,2300,66,51,0,0,,chychja01
155,Filip Chytil,22,NYR,C,67,8,14,22,-1,14,1.5,8,0,0,1,13,1,0,135,5.9,883,1311,27,24,135,176,43.4,chytifi01
156,Anthony Cirelli,24,TBL,C,76,17,26,43,15,70,3.9,13,3,1,4,21,5,0,146,11.6,1392,1819,67,75,441,507,46.5,cirelan01
157,Casey Cizikas,30,NYI,C,74,10,6,16,-3,48,1.0,9,0,1,3,6,0,0,91,11.0,1017,1345,43,138,534,427,55.6,cizikca01
158,Fredrik Claesson,29,TBL,D,9,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,4,0.0,89,952,6,12,0,0,,claesfr01
159,Kale Clague,23,TOT,D,36,2,8,10,-10,20,1.0,2,0,0,0,5,3,0,26,7.7,603,1644,23,14,0,0,,claguka01
160,Kyle Clifford,31,TOT,LW,25,1,3,4,-5,31,-0.1,1,0,0,0,3,0,0,29,3.4,220,848,5,50,3,4,42.9,cliffky01
161,Connor Clifton,26,BOS,D,60,2,8,10,-2,32,2.1,2,0,0,0,8,0,0,80,2.5,964,1604,62,156,0,0,,cliftco01
162,Cal Clutterbuck,34,NYI,RW,59,6,9,15,-6,10,0.7,5,0,1,1,9,0,0,74,8.1,828,1403,23,229,11,4,73.3,cluttca01
163,Dylan Coghlan,23,VEG,D,59,3,10,13,-5,18,1.8,1,2,0,1,8,2,0,108,2.8,838,1412,61,62,0,0,,coghldy01
164,Andrew Cogliano,34,TOT,LW,74,4,12,16,-18,20,0.0,3,0,1,0,11,0,1,75,5.3,938,1240,31,104,8,13,38.1,coglian01
165,Ian Cole,32,CAR,D,75,2,17,19,15,83,4.4,2,0,0,1,16,0,1,77,2.6,1286,1709,104,110,0,0,,coleia01
166,Blake Coleman,30,CGY,C,81,16,17,33,16,60,3.2,15,0,1,2,16,0,1,212,7.5,1200,1449,44,163,2,17,10.5,colembl01
167,Ross Colton,25,TBL,C,79,22,17,39,4,24,4.2,21,1,0,4,13,4,0,159,13.8,1011,1248,36,153,303,278,52.2,coltoro01
168,Blake Comeau,35,DAL,RW,6,1,0,1,-1,4,0.1,1,0,0,0,0,0,0,2,50.0,69,1128,3,13,1,0,100.0,comeabl01
169,J.T. Compher,26,COL,LW,70,18,15,33,6,25,2.9,13,4,1,0,13,2,0,102,17.6,1143,1619,55,31,338,319,51.4,comphj.01
170,Max Comtois,23,ANA,LW,52,6,10,16,-17,46,0.4,6,0,0,0,8,2,0,72,8.3,735,1408,17,111,22,24,47.8,comtoma01
171,Kevin Connauton,31,TOT,D,39,1,2,3,-3,4,0.5,1,0,0,0,2,0,0,30,3.3,510,1305,32,74,0,0,,connake01
172,Brett Connolly,29,CHI,RW,9,0,1,1,-3,15,-0.1,0,0,0,0,1,0,0,6,0.0,76,824,3,7,0,0,,connobr01
173,Kyle Connor,25,WPG,LW,79,47,46,93,-3,4,10.6,36,8,3,9,26,20,0,317,14.8,1720,2147,23,32,1,6,14.3,connoky01
174,Andrew Copp,27,TOT,C,72,21,32,53,15,16,5.4,16,3,2,5,24,7,1,183,11.5,1381,1911,41,45,377,332,53.2,coppan01
175,Paul Cotter,22,VEG,C,7,2,0,2,1,6,0.3,2,0,0,0,0,0,0,11,18.2,62,849,1,17,0,1,0.0,cottepa01
176,Nick Cousins,28,NSH,C,68,9,13,22,-8,31,1.2,6,3,0,1,12,1,0,103,8.7,848,1228,28,66,23,26,46.9,cousini01
